date,open,high,low,close,volume
2023-05-01,7.0302793,7.0832409,6.7946666,6.9032757,256711.7899999999
2023-05-02,6.8984212,7.0191714,6.8080081,6.9974086,167139.84
2023-05-03,6.9936563,7.1574045,6.8210523,7.1332604,306716.5300000001
2023-05-04,7.134734,7.168843,6.9632057,7.0065888,189805.95999999982
2023-05-05,7.0038814,7.2891356,6.9157518,7.2353648,338291.4299999996
2023-05-06,7.2363176,7.2848555,6.8983552,6.9498648,266903.68999999994
2023-05-07,6.9520224,7.0091923,6.8965201,6.9512695,196984.71999999986
2023-05-08,6.9416573,6.9640396,6.4247485,6.6196817,551477.4200000011
2023-05-09,6.6138032,6.655206,6.4885474,6.5374242,248989.23999999982
2023-05-10,6.5389619,6.6981908,6.3139382,6.5976799,470460.08000000025
2023-05-11,6.5997443,6.5997443,6.2231453,6.362302,401054.00000000076
2023-05-12,6.3717746,6.6455674,6.2215252,6.6246176,555287.8500000011
2023-05-13,6.6278918,6.6356408,6.4815533,6.4935809,227155.17000000013
2023-05-14,6.4967326,6.6130919,6.4479331,6.5463767,170943.63000000006
2023-05-15,6.5496241,6.7118127,6.4611145,6.6405746,256572.45000000033
2023-05-16,6.641144,6.7335469,6.557914,6.6629443,245244.96000000005
2023-05-17,6.6639176,6.8106157,6.5485407,6.7565083,312561.29
2023-05-18,6.7593776,6.7661293,6.4366628,6.5302029,269264.79000000004
2023-05-19,6.5341034,6.5540293,6.4672246,6.5167603,143858.1199999999
2023-05-20,6.5116245,6.548586,6.4755048,6.5085398,100317.89999999998
2023-05-21,6.508572,6.5508904,6.3602623,6.4314957,168392.23000000007
2023-05-22,6.4312746,6.608196,6.3394925,6.5335879,379078.35000000003
2023-05-23,6.5373857,6.636454,6.4738551,6.5075948,243547.1999999997
2023-05-24,6.5073104,6.5100331,6.2154156,6.3203808,315121.72000000015
2023-05-25,6.3240288,6.3489864,6.1778107,6.2791383,184302.03999999995
2023-05-26,6.2784618,6.3848396,6.2379372,6.3483845,116066.63000000005
2023-05-27,6.351072,6.447115,6.3312631,6.4445459,94671.96999999996
2023-05-28,6.4466921,6.6672627,6.4255575,6.6383216,209518.94
2023-05-29,6.6411075,6.675875,6.5405624,6.643848,172590.54999999984
2023-05-30,6.6447696,6.6675832,6.5418609,6.6136824,134994.05000000002
2023-05-31,6.6118492,6.6352325,6.4068339,6.4809796,175014.7299999996
