date,open,high,low,close,volume
2023-07-01,6.3131763,6.5252876,6.1283103,6.5043864,537311.2000000005
2023-07-02,6.5010231,6.561731,6.3463716,6.5415641,503190.71000000014
2023-07-03,6.5335056,6.6887345,6.473858,6.6312438,381403.2299999998
2023-07-04,6.6272416,6.6272416,6.4078901,6.5246265,348807.2200000008
2023-07-05,6.5269278,6.5679842,6.2186376,6.2997513,332309.5700000004
2023-07-06,6.296821,6.5072278,6.0764603,6.0824411,352457.30000000057
2023-07-07,6.085814,6.227222,6.0339188,6.1524112,271652.87999999995
2023-07-08,6.1570228,6.2200645,6.097638,6.1955197,205327.79999999984
2023-07-09,6.1998465,6.245033,6.1255311,6.1495876,180147.13000000027
2023-07-10,6.1564813,6.3014888,6.0304118,6.1760619,299055.3000000007
2023-07-11,6.1773225,6.2364146,6.1285637,6.2024737,186856.08999999982
2023-07-12,6.2116342,6.3502317,6.1990092,6.2526176,221473.6600000001
2023-07-13,6.2517167,7.1694296,6.216862,7.1338688,814880.9800000002
2023-07-14,7.1372324,7.3465184,6.7116349,6.958303,852758.3799999999
2023-07-15,6.9567179,7.021847,6.8402281,6.915844,342908.3499999993
2023-07-16,6.9205817,6.9205817,6.5817586,6.606707,414331.71000000025
2023-07-17,6.6083096,7.2619301,6.4694982,7.1948208,1278749.1500000008
2023-07-18,7.1948995,7.3044844,6.7946584,6.9116426,1165413.2199999988
2023-07-19,6.9112331,7.0502387,6.773859,6.9179271,621886.5800000004
2023-07-20,6.9181375,8.4598669,6.8914829,8.3655306,3176514.2500000065
2023-07-21,8.3655923,8.4490344,8.0473756,8.1346417,1390879.9399999988
2023-07-22,8.1314569,8.3683932,7.7967621,7.8772586,956315.3299999991
2023-07-23,7.8887315,8.0967733,7.827427,7.8903191,424068.26999999955
2023-07-24,7.8931421,7.8931421,7.4426391,7.589166,650765.2200000004
2023-07-25,7.5909509,7.6438998,7.3489693,7.3909973,356204.6600000002
2023-07-26,7.3935796,7.8429388,7.2839649,7.7447275,539489.3000000002
2023-07-27,7.7447459,8.1267289,7.6861506,7.9932372,639974.1099999993
2023-07-28,7.9903802,8.0911381,7.7719439,7.7778095,328381.7200000005
2023-07-29,7.7742908,7.9005408,7.7253426,7.8475384,213567.88000000003
2023-07-30,7.8505609,7.8649033,7.3515779,7.5563737,393882.1899999996
2023-07-31,7.5562111,7.7158752,7.4477194,7.5499152,395156.12000000005
