date,open,high,low,close,volume
2022-08-01,7.652598,7.8806014,7.4139042,7.5743586,527474.9099999998
2022-08-02,7.5699201,7.6634722,7.0179871,7.1810855,621789.9300000006
2022-08-03,7.1875555,7.6432896,7.0538177,7.2856465,523316.39000000054
2022-08-04,7.2793156,7.5388067,7.1683716,7.3634382,497196.8900000009
2022-08-05,7.3635775,7.9016495,7.3495712,7.8853237,625461.2800000007
2022-08-06,7.8777738,8.112365,7.742349,7.7947335,295816.68
2022-08-07,7.7941731,8.3754796,7.6640564,8.3453832,556381.8600000005
2022-08-08,8.3513234,8.7861253,8.2284415,8.6088371,862990.1399999983
2022-08-09,8.6081938,8.9538403,8.2777083,8.7449215,1064459.07
2022-08-10,8.738895,9.3068717,8.3012084,9.0600209,968591.8100000004
2022-08-11,9.064985,9.2194994,8.8393106,8.9639236,748058.8199999983
2022-08-12,8.970171,9.4973904,8.8075393,9.328364,814698.0799999993
2022-08-13,9.3250244,9.4838717,9.0616622,9.1452126,333159.8600000004
2022-08-14,9.148189,9.3759239,8.6889124,8.770067,424905.18999999994
2022-08-15,8.7658613,9.0596596,8.5000888,8.648447,657681.8599999995
2022-08-16,8.6508502,8.8238296,8.378294,8.4538331,378673.35000000097
2022-08-17,8.4499379,8.7684069,7.9921675,8.0598545,404441.3800000001
2022-08-18,8.0627585,8.2412785,7.6070801,7.6455137,647561.6700000009
2022-08-19,7.6428482,7.6978568,6.8241815,6.8968683,795727.3100000003
2022-08-20,6.9033688,7.2007445,6.6823116,6.9024941,500630.0000000005
2022-08-21,6.9034188,7.1732892,6.884111,7.0743237,225937.04999999973
2022-08-22,7.0816286,7.0859309,6.6823381,7.046312,330290.07999999984
2022-08-23,7.0450437,7.3451996,6.7770321,7.2381849,484199.6700000001
2022-08-24,7.2433244,7.4003537,7.0206562,7.1228576,245221.40000000026
2022-08-25,7.1217007,7.3653811,7.0091381,7.1276688,443711.2900000002
2022-08-26,7.115123,7.1707874,6.4191445,6.5070676,508255.52999999945
2022-08-27,6.4991439,6.6101795,6.41302,6.5281556,275055.1399999998
2022-08-28,6.5294866,6.6288433,6.2306601,6.2501702,267460.57999999996
2022-08-29,6.2602289,6.7292725,6.2063289,6.7028553,574822.7300000004
2022-08-30,6.7020678,6.8211177,6.3814272,6.5531579,475865.7
2022-08-31,6.5577687,6.8953904,6.5485849,6.6296838,353839.19999999995
